,Line Name and Location,Date and Time,Day,4hr Time Interval Ending at,Net Entries,Net Exits,Total Entries & Exits
221,Line 1 : Canal & Varick St,2021-10-09 04:00:00,Saturday,04:00:00,69.0,33.0,102.0
222,Line 1 : Canal & Varick St,2021-10-09 08:00:00,Saturday,08:00:00,52.0,106.0,158.0
223,Line 1 : Canal & Varick St,2021-10-09 12:00:00,Saturday,12:00:00,161.0,326.0,487.0
224,Line 1 : Canal & Varick St,2021-10-09 16:00:00,Saturday,16:00:00,437.0,523.0,960.0
225,Line 1 : Canal & Varick St,2021-10-09 20:00:00,Saturday,20:00:00,370.0,298.0,668.0
226,Line 1 : Canal & Varick St,2021-10-10 00:00:00,Sunday,00:00:00,175.0,120.0,295.0
227,Line 1 : Canal & Varick St,2021-10-10 04:00:00,Sunday,04:00:00,64.0,25.0,89.0
228,Line 1 : Canal & Varick St,2021-10-10 08:00:00,Sunday,08:00:00,39.0,73.0,112.0
229,Line 1 : Canal & Varick St,2021-10-10 12:00:00,Sunday,12:00:00,149.0,230.0,379.0
230,Line 1 : Canal & Varick St,2021-10-10 16:00:00,Sunday,16:00:00,286.0,339.0,625.0
231,Line 1 : Canal & Varick St,2021-10-10 20:00:00,Sunday,20:00:00,289.0,167.0,456.0
232,Line 1 : Canal & Varick St,2021-10-11 00:00:00,Monday,00:00:00,126.0,54.0,180.0
233,Line 1 : Canal & Varick St,2021-10-11 04:00:00,Monday,04:00:00,15.0,11.0,26.0
234,Line 1 : Canal & Varick St,2021-10-11 08:00:00,Monday,08:00:00,82.0,437.0,519.0
235,Line 1 : Canal & Varick St,2021-10-11 12:00:00,Monday,12:00:00,206.0,631.0,837.0
236,Line 1 : Canal & Varick St,2021-10-11 16:00:00,Monday,16:00:00,450.0,546.0,996.0
237,Line 1 : Canal & Varick St,2021-10-11 20:00:00,Monday,20:00:00,525.0,372.0,897.0
238,Line 1 : Canal & Varick St,2021-10-12 00:00:00,Tuesday,00:00:00,143.0,93.0,236.0
239,Line 1 : Canal & Varick St,2021-10-12 04:00:00,Tuesday,04:00:00,15.0,27.0,42.0
240,Line 1 : Canal & Varick St,2021-10-12 08:00:00,Tuesday,08:00:00,153.0,789.0,942.0
241,Line 1 : Canal & Varick St,2021-10-12 12:00:00,Tuesday,12:00:00,263.0,762.0,1025.0
242,Line 1 : Canal & Varick St,2021-10-12 16:00:00,Tuesday,16:00:00,682.0,606.0,1288.0
243,Line 1 : Canal & Varick St,2021-10-12 20:00:00,Tuesday,20:00:00,630.0,481.0,1111.0
244,Line 1 : Canal & Varick St,2021-10-13 00:00:00,Wednesday,00:00:00,160.0,119.0,279.0
245,Line 1 : Canal & Varick St,2021-10-13 04:00:00,Wednesday,04:00:00,25.0,22.0,47.0
246,Line 1 : Canal & Varick St,2021-10-13 08:00:00,Wednesday,08:00:00,170.0,743.0,913.0
247,Line 1 : Canal & Varick St,2021-10-13 12:00:00,Wednesday,12:00:00,158.0,677.0,835.0
248,Line 1 : Canal & Varick St,2021-10-13 16:00:00,Wednesday,16:00:00,732.0,745.0,1477.0
249,Line 1 : Canal & Varick St,2021-10-13 20:00:00,Wednesday,20:00:00,670.0,542.0,1212.0
250,Line 1 : Canal & Varick St,2021-10-14 00:00:00,Thursday,00:00:00,208.0,136.0,344.0
251,Line 1 : Canal & Varick St,2021-10-14 04:00:00,Thursday,04:00:00,25.0,26.0,51.0
252,Line 1 : Canal & Varick St,2021-10-14 08:00:00,Thursday,08:00:00,140.0,794.0,934.0
253,Line 1 : Canal & Varick St,2021-10-14 12:00:00,Thursday,12:00:00,272.0,759.0,1031.0
254,Line 1 : Canal & Varick St,2021-10-14 16:00:00,Thursday,16:00:00,725.0,770.0,1495.0
255,Line 1 : Canal & Varick St,2021-10-14 20:00:00,Thursday,20:00:00,711.0,671.0,1382.0
256,Line 1 : Canal & Varick St,2021-10-15 00:00:00,Friday,00:00:00,225.0,176.0,401.0
257,Line 1 : Canal & Varick St,2021-10-15 04:00:00,Friday,04:00:00,43.0,37.0,80.0
258,Line 1 : Canal & Varick St,2021-10-15 08:00:00,Friday,08:00:00,126.0,647.0,773.0
